year,month,day
2000,9,8
2000,9,11
2000,9,13
2000,9,14
2000,9,21
2000,9,27
2000,9,28
2000,10,13
2000,10,18
2000,10,19
2000,11,13
2000,11,14
2000,11,15
2000,11,16
2000,11,20
2000,11,28
2000,12,8
2000,12,29
2001,1,3
2001,1,4
2001,1,11
2001,1,25
2001,1,26
2001,2,5
2001,2,7
2001,2,23
2001,3,2
2001,3,7
2001,3,9
2001,3,15
2001,3,29
2001,4,2
2001,4,6
2001,4,16
2001,4,25
2001,5,7
2001,5,15
2001,5,21
2001,5,31
2001,6,1
2001,6,7
2001,6,21
2001,7,2
2001,7,9
2001,7,10
2001,7,12
2001,7,18
2001,7,19
2001,7,20
2001,7,24
2001,8,14
2001,8,24
2001,8,28
2001,8,29
2001,9,5
2001,9,7
2001,9,19
2001,9,26
2001,9,28
2001,10,8
2001,10,19
2001,10,24
2001,10,25
2001,10,31
2001,11,2
2001,11,6
2001,11,14
2001,11,20
2001,11,26
2001,11,27
2001,12,3
2001,12,4
2001,12,11
2001,12,14
2001,12,17
2001,12,31
2002,1,9
2002,1,11
2002,1,14
2002,1,15
2002,2,5
2002,2,13
2002,2,19
2002,2,21
2002,2,26
2002,3,6
2002,3,21
2002,3,28
2002,4,4
2002,4,15
2002,4,18
2002,4,23
2002,5,1
2002,5,10
2002,5,13
2002,5,16
2002,5,20
2002,5,31
2002,6,5
2002,6,11
2002,6,28
2002,7,3
2002,7,12
2002,7,18
2002,7,19
2002,7,26
2002,7,30
2002,8,5
2002,8,7
2002,8,12
2002,8,16
2002,8,26
2002,8,29
2002,9,11
2002,9,12
2002,9,27
2002,10,3
2002,10,4
2002,10,7
2002,10,8
2002,10,10
2002,10,22
2002,10,23
2002,10,31
2002,11,5
2002,11,26
2002,12,4
2002,12,9
2002,12,16
2002,12,18
2002,12,20
2002,12,24
2002,12,26
2002,12,30
2003,1,8
2003,1,9
2003,1,17
2003,1,22
2003,2,14
2003,2,18
2003,2,25
2003,3,3
2003,3,7
2003,3,12
2003,3,14
2003,3,21
2003,3,26
2003,3,27
2003,3,28
2003,3,31
2003,4,1
2003,4,4
2003,4,23
2003,4,28
2003,4,29
2003,4,30
2003,5,13
2003,6,4
2003,6,26
2003,7,14
2003,7,28
2003,8,5
2003,8,8
2003,8,19
2003,8,29
2003,9,9
2003,9,17
2003,9,26
2003,10,1
2003,10,16
2003,10,27
2003,10,28
2003,10,31
2003,11,3
2003,11,21
2003,12,9
2003,12,10
2003,12,12
2003,12,15
2003,12,23
2004,1,6
2004,1,12
2004,1,21
2004,1,26
2004,1,29
2004,1,30
2004,2,3
2004,2,5
2004,2,18
2004,3,3
2004,3,16
2004,3,19
2004,3,23
2004,4,21
2004,4,30
2004,5,6
2004,5,7
2004,5,14
2004,5,20
2004,5,24
2004,6,8
2004,6,14
2004,6,17
2004,6,18
2004,7,12
2004,7,16
2004,7,26
2004,7,29
2004,8,16
2004,8,20
2004,8,27
2004,9,2
2004,9,10
2004,9,13
2004,9,20
2004,9,21
2004,9,24
2004,10,5
2004,10,26
2004,10,29
2004,11,5
2004,11,17
2004,11,19
2004,11,23
2004,11,29
2004,12,7
2004,12,14
2004,12,15
2004,12,20
2005,1,18
2005,1,31
2005,2,9
2005,2,14
2005,2,18
2005,2,28
2005,3,3
2005,3,9
2005,3,21
2005,3,23
2005,3,24
2005,4,7
2005,4,14
2005,4,26
2005,5,5
2005,5,26
2005,6,8
2005,6,16
2005,6,20
2005,7,1
2005,7,5
2005,7,6
2005,7,7
2005,7,20
2005,7,29
2005,8,1
2005,8,9
2005,8,12
2005,8,15
2005,8,16
2005,9,1
2005,9,2
2005,9,7
2005,9,14
2005,9,23
2005,9,26
2005,10,4
2005,11,8
2005,11,17
2005,11,22
2005,11,30
2005,12,6
2005,12,9
2005,12,19
2005,12,23
2005,12,29
2006,1,19
2006,2,1
2006,2,10
2006,2,15
2006,3,3
2006,3,6
2006,3,13
2006,3,20
2006,3,27
2006,4,4
2006,4,6
2006,4,12
2006,4,13
2006,4,27
2006,5,8
2006,5,26
2006,6,9
2006,6,13
2006,6,19
2006,6,23
2006,6,26
2006,7,10
2006,7,14
2006,7,28
2006,8,1
2006,8,4
2006,8,7
2006,8,24
2006,8,28
2006,9,5
2006,9,7
2006,9,11
2006,9,12
2006,9,13
2006,9,15
2006,9,18
2006,9,19
2006,9,20
2006,10,2
2006,10,4
2006,10,17
2006,10,19
2006,11,1
2006,11,2
2006,11,3
2006,11,6
2006,11,13
2006,11,15
2006,11,16
2006,12,5
2006,12,13
2007,1,2
2007,1,22
2007,2,14
2007,2,20
2007,3,5
2007,3,15
2007,3,23
2007,3,26
2007,3,28
2007,4,4
2007,4,10
2007,4,17
2007,4,24
2007,4,30
2007,5,3
2007,5,8
2007,5,9
2007,5,14
2007,5,17
2007,5,18
2007,5,24
2007,6,4
2007,6,8
2007,6,15
2007,6,18
2007,7,3
2007,7,19
2007,7,26
2007,8,8
2007,8,9
2007,8,10
2007,8,13
2007,9,4
2007,9,5
2007,9,11
2007,9,12
2007,9,13
2007,9,26
2007,9,28
2007,10,1
2007,10,5
2007,10,11
2007,10,15
2007,10,16
2007,10,25
2007,11,13
2007,11,19
2007,11,20
2007,11,26
2007,11,27
2007,11,29
2007,11,30
2007,12,10
2007,12,18
2007,12,27
2008,1,9
2008,1,17
2008,1,23
2008,1,31
2008,2,12
2008,2,13
2008,2,21
2008,2,25
2008,2,27
2008,2,28
2008,2,29
2008,3,3
2008,3,12
2008,3,14
2008,3,31
2008,4,7
2008,4,10
2008,4,21
2008,4,30
2008,5,16
2008,6,4
2008,6,10
2008,6,12
2008,7,7
2008,7,9
2008,7,14
2008,7,24
2008,8,6
2008,8,8
2008,8,11
2008,8,13
2008,8,14
2008,8,20
2008,8,22
2008,8,25
2008,8,26
2008,8,27
2008,9,4
2008,9,5
2008,9,12
2008,9,16
2008,9,18
2008,10,1
2008,10,6
2008,10,20
2008,10,30
2008,11,6
2008,11,10
2008,11,11
2008,11,19
2008,12,4
2008,12,8
2008,12,29
2009,1,5
2009,1,8
2009,1,9
2009,1,15
2009,1,22
2009,1,26
2009,1,30
2009,2,2
2009,2,10
2009,2,20
2009,2,24
2009,3,10
2009,3,13
2009,3,20
2009,4,8
2009,4,20
2009,4,21
2009,4,27
2009,5,5
2009,5,15
2009,5,29
2009,6,5
2009,6,10
2009,6,11
2009,6,18
2009,6,26
2009,6,30
2009,7,6
2009,7,10
2009,7,13
2009,7,17
2009,7,20
2009,8,5
2009,8,20
2009,9,2
2009,9,8
2009,9,10
2009,9,15
2009,9,24
2009,9,28
2009,9,29
2009,10,1
2009,10,2
2009,10,8
2009,10,9
2009,10,12
2009,11,13
2009,11,17
2009,11,18
2009,11,24
2009,12,1
2009,12,2
2009,12,11
2009,12,16
2009,12,17
2009,12,21
2009,12,28
2009,12,31
2010,1,7
2010,1,8
2010,1,11
2010,1,14
2010,1,19
2010,1,27
2010,2,8
2010,2,16
2010,3,3
2010,3,15
2010,3,18
2010,3,19
2010,3,22
2010,3,23
2010,3,26
2010,4,16
2010,4,20
2010,4,27
2010,4,29
2010,5,7
2010,5,11
2010,5,12
2010,5,13
2010,5,20
2010,5,25
2010,5,26
2010,5,27
2010,6,2
2010,6,10
2010,6,15
2010,6,28
2010,7,7
2010,7,13
2010,7,14
2010,7,22
2010,7,23
2010,8,4
2010,8,9
2010,8,10
2010,8,13
2010,8,23
2010,8,24
2010,8,30
2010,9,8
2010,9,10
2010,9,13
2010,9,17
2010,10,7
2010,10,18
2010,10,20
2010,10,26
2010,10,28
2010,11,9
2010,11,19
2010,11,26
2010,11,30
2010,12,10
2011,1,12
2011,1,21
2011,1,24
2011,1,31
2011,2,1
2011,2,7
2011,2,8
2011,2,9
2011,2,11
2011,2,14
2011,2,25
2011,3,3
2011,3,4
2011,3,23
2011,3,29
2011,3,31
2011,4,4
2011,4,12
2011,4,13
2011,4,18
2011,5,6
2011,5,12
2011,5,19
2011,5,24
2011,6,16
2011,6,20
2011,6,21
2011,6,23
2011,6,29
2011,7,1
2011,7,12
2011,7,22
2011,7,25
2011,8,3
2011,8,19
2011,8,22
2011,8,30
2011,8,31
2011,9,8
2011,9,15
2011,10,3
2011,10,6
2011,10,10
2011,11,4
2011,11,14
2011,11,18
2011,12,9
2011,12,15
2011,12,19
2012,1,4
2012,1,12
2012,1,18
2012,1,19
2012,1,23
2012,2,2
2012,2,13
2012,2,21
2012,3,5
2012,3,6
2012,3,12
2012,3,28
2012,4,11
2012,5,8
2012,5,10
2012,5,21
2012,6,18
2012,6,20
2012,6,26
2012,6,28
2012,7,6
2012,7,23
2012,7,25
2012,7,27
2012,8,21
2012,8,24
2012,8,29
2012,8,30
2012,8,31
2012,9,19
2012,10,11
2012,10,15
2012,11,2
2012,11,9
2012,11,12
2012,11,26
2012,12,3
2012,12,12
2012,12,28
2013,1,2
2013,1,7
2013,1,9
2013,2,4
2013,2,8
2013,2,19
2013,2,22
2013,2,28
2013,3,11
2013,3,15
2013,3,21
2013,4,8
2013,4,10
2013,4,16
2013,4,23
2013,4,24
2013,4,30
2013,5,1
2013,5,3
2013,5,13
2013,5,15
2013,5,21
2013,6,5
2013,6,18
2013,6,19
2013,6,28
2013,7,3
2013,7,16
2013,7,18
2013,7,24
2013,8,16
2013,8,27
2013,8,28
2013,8,29
2013,8,30
2013,9,4
2013,9,5
2013,9,6
2013,9,13
2013,9,18
2013,9,19
2013,9,25
2013,10,3
2013,10,15
2013,10,21
2013,10,25
2013,11,4
2013,11,22
2013,12,9
2013,12,12
2014,2,13
2014,3,4
2014,3,6
2014,3,7
2014,3,18
2014,3,19
2014,4,1
2014,4,8
2014,4,17
2014,4,30
2014,5,13
2014,5,14
2014,5,15
2014,6,3
2014,6,16
2014,6,18
2014,6,24
2014,6,30
2014,7,2
2014,7,10
2014,7,17
2014,7,25
2014,8,5
2014,8,6
2014,8,8
2014,8,27
2014,9,3
2014,9,5
2014,9,18
2014,9,24
2014,10,1
2014,10,16
2014,10,28
2014,11,5
2014,11,7
2014,11,12
2014,12,30
2015,1,20
2015,1,23
2015,1,27
2015,2,13
2015,2,23
2015,2,26
2015,3,5
2015,3,11
2015,3,19
2015,3,23
2015,3,27
2015,3,30
2015,4,7
2015,4,10
2015,4,20
2015,4,28
2015,5,13
2015,5,19
2015,5,20
2015,5,27
2015,6,9
2015,6,15
2015,6,18
2015,6,19
2015,6,26
2015,6,29
2015,7,7
2015,7,13
2015,7,20
2015,7,31
2015,8,4
2015,8,6
2015,8,19
2015,8,24
2015,8,28
2015,9,4
2015,9,17
2015,9,18
2015,10,1
2015,10,15
2015,10,21
2015,11,4
2015,11,11
2015,11,18
2015,12,4
2015,12,14
2015,12,17
2015,12,28
2016,1,4
2016,1,5
2016,1,14
2016,1,20
2016,1,25
2016,1,27
2016,1,28
2016,2,3
2016,2,18
2016,2,23
2016,2,25
2016,3,15
2016,3,16
2016,3,18
2016,3,29
2016,4,15
2016,4,19
2016,4,25
2016,4,29
2016,5,10
2016,5,17
2016,5,20
2016,6,3
2016,6,9
2016,6,21
2016,7,5
2016,7,7
2016,7,8
2016,7,14
2016,7,25
2016,7,27
2016,7,28
2016,8,12
2016,8,15
2016,8,17
2016,8,23
2016,8,24
2016,9,9
2016,9,14
2016,9,20
2016,9,30
2016,10,12
2016,10,13
2016,11,10
2016,11,18
2016,11,22
2016,11,25
2016,12,6
2016,12,8
2016,12,19
2016,12,22
2017,1,3
2017,1,11
2017,1,18
2017,1,20
2017,1,23
2017,1,31
2017,2,1
2017,2,10
2017,2,13
2017,2,28
2017,3,6
2017,3,10
2017,3,27
2017,4,3
2017,4,7
2017,4,17
2017,5,2
2017,5,4
2017,5,22
2017,6,1
2017,6,5
2017,6,16
2017,7,6
2017,7,10
2017,7,25
2017,8,1
2017,8,8
2017,8,10
2017,8,14
2017,8,17
2017,8,18
2017,8,21
2017,8,25
2017,9,19
2017,9,21
2017,10,16
2017,10,31
2017,11,9
2017,11,13
2017,11,27
2017,11,28
2017,12,8
2017,12,18
2018,1,3
2018,1,29
2018,2,5
2018,2,12
2018,2,22
2018,2,23
2018,2,27
2018,2,28
2018,3,2
2018,3,7
2018,3,9
2018,3,13
2018,3,23
2018,3,27
2018,3,28
2018,4,13
2018,4,16
2018,4,26
2018,5,4
2018,5,8
2018,5,16
2018,5,17
2018,5,21
2018,5,24
2018,5,30
2018,6,28
2018,6,29
2018,7,2
2018,7,11
2018,8,2
2018,8,3
2018,8,21
2018,8,24
2018,8,28
2018,9,5
2018,9,10
2018,9,13
2018,9,17
2018,9,20
2018,9,26
2018,9,27
2018,9,28
2018,10,1
2018,10,19
2018,10,26
2018,11,9
2018,11,12
2018,11,13
2018,11,19
2018,11,20
2018,12,10
2018,12,14
2018,12,21
2018,12,26
2018,12,27
2018,12,31
2019,1,8
2019,1,9
2019,1,10
2019,1,17
2019,1,18
2019,1,28
2019,2,12
2019,2,26
2019,3,1
2019,3,14
2019,3,22
2019,4,1
2019,4,2
2019,4,3
2019,4,11
2019,4,16
2019,4,24
2019,4,26
2019,5,29
2019,6,4
2019,6,18
2019,6,26
2019,7,2
2019,7,5
2019,7,16
2019,7,18
2019,7,19
2019,7,22
2019,7,25
2019,7,29
2019,7,30
2019,7,31
2019,8,8
2019,8,14
2019,8,21
2019,8,22
2019,8,26
2019,8,28
2019,9,10
2019,9,18
2019,9,27
2019,10,18
2019,11,1
2019,11,5
2019,12,11
2019,12,30
2020,1,2
2020,1,3
2020,1,13
2020,1,14
2020,1,21
2020,1,22
2020,2,5
2020,2,18
2020,2,19
2020,3,12
2020,3,24
2020,3,25
2020,4,21
2020,4,22
2020,5,1
2020,5,5
2020,5,11
2020,5,13
2020,5,20
2020,6,12
2020,6,15
2020,6,22
2020,7,14
2020,7,16
2020,7,24
2020,7,30
2020,8,3
2020,8,21
2020,8,24
2020,9,3
2020,9,9
2020,9,11
2020,9,22
2020,9,23
2020,10,2
2020,10,6
2020,10,16
2020,10,19
2020,10,21
2020,11,3
2020,11,6
2020,11,9
2020,11,17
2020,11,24
2020,11,27
2020,11,30
2020,12,1
2020,12,8
2020,12,9
2020,12,31
2021,1,11
2021,1,14
2021,1,26
2021,2,25
2021,3,1
2021,3,4
2021,3,5
2021,3,10
2021,3,11
2021,3,19
2021,3,29
2021,4,5
2021,4,16
2021,4,19
2021,4,20
2021,4,21
2021,5,4
2021,5,25
2021,5,26
2021,6,4
2021,6,7
2021,6,14
2021,7,14
2021,7,19
2021,7,20
2021,8,2
2021,8,4
2021,8,5
2021,8,11
2021,8,20
2021,8,24
2021,8,26
2021,9,13
2021,9,16
2021,9,22
2021,9,24
2021,9,27
2021,10,1
2021,10,11
2021,10,14
2021,10,20
2021,10,21
2021,10,29
2021,11,12
2021,11,16
2021,11,24
2021,12,2
2021,12,10
2021,12,14
2021,12,22
2021,12,28
2021,12,30
2022,2,2
2022,2,4
2022,2,11
2022,2,28
2022,3,1
2022,3,17
2022,3,24
2022,4,4
2022,4,12
2022,4,19
2022,4,29
2022,5,10
2022,5,11
2022,5,20
2022,5,23
2022,6,2
2022,6,13
2022,6,17
2022,6,24
2022,7,5
2022,7,8
2022,7,12
2022,7,18
2022,7,21
2022,7,26
2022,8,5
2022,8,9
2022,8,10
2022,8,11
2022,8,22
2022,9,1
2022,9,7
2022,9,19
2022,9,30
2022,10,4
2022,10,14
2022,10,20
2022,11,4
2022,11,8
2022,11,23
2022,12,19
2022,12,23
2023,1,5
2023,1,9
2023,1,13
2023,1,18
2023,1,30
2023,2,3
2023,2,23
2023,2,24
2023,3,2
2023,3,9
2023,3,13
2023,3,14
2023,3,17
2023,3,20
2023,3,22
2023,3,23
2023,4,5
2023,4,11
2023,4,12
2023,4,13
2023,4,21
2023,5,5
2023,5,16
2023,5,18
2023,6,2
2023,6,5
2023,6,9
2023,6,14
2023,6,23
2023,6,27
2023,7,3
2023,7,10
2023,7,20
2023,7,21
2023,7,24
2023,7,31
2023,8,8
2023,8,11
2023,8,24
2023,8,25
2023,8,29
2023,9,11
2023,9,13
2023,9,25
2023,10,4
2023,10,9
2023,10,18
2023,11,1
2023,11,7
2023,11,15
2023,11,22
2023,11,28
2023,12,4
2023,12,5
2023,12,8
2023,12,11
2023,12,13
2023,12,14
2024,1,16
2024,1,18
2024,1,23
2024,1,30
2024,2,2
2024,2,22
2024,3,1
2024,3,4
2024,3,14
2024,3,19
2024,3,20
2024,3,25
2024,3,28
2024,4,1
2024,4,4
2024,4,5
2024,4,19
2024,4,25
2024,5,1
2024,5,3
